GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
03-001,3,Thu September 18,Dolphins,Bills,31,44,6.5,H or A,H
03-002,3,Sun September 21,Falcons,Panthers,42,41,3.5,H or A,A
03-003,3,Sun September 21,Bengals,Vikings,17,42,7.5,H or A,A
03-004,3,Sun September 21,Packers,Browns,34,51,11.5,H or A,H
03-005,3,Sun September 21,Texans,Jaguars,56,42,3.5,H or A,A
03-006,3,Sun September 21,Colts,Titans,42,31,0.5,H or A,A
03-007,3,Sun September 21,Raiders,Commanders,21,24,4.5,H or A,A
03-008,3,Sun September 21,Rams,Eagles,17,31,6.5,H or A,H
03-009,3,Sun September 21,Jets,Buccaneers,42,45,8.5,H or A,H
03-010,3,Sun September 21,Steelers,Patriots,35,31,2.5,H or A,A
03-011,3,Sun September 21,Broncos,Chargers,38,21,1.5,H or A,A
03-012,3,Sun September 21,Saints,Seahawks,31,16,6.5,H or A,A
03-013,3,Sun September 21,Cardinals,49ers,31,41,3.5,H or A,H
03-014,3,Sun September 21,Cowboys,Bears,42,35,7.5,H or A,H
03-015,3,Sun September 21,Chiefs,Giants,42,44,10.5,H or A,A
03-016,3,Mon September 22,Lions,Ravens,31,51,3.5,H or A,A
