GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
04-001,4,Thu September 25,Seahawks,Cardinals,31,44,4.5,H or A,A
04-002,4,Sun September 28,Vikings,Steelers,42,41,3.5,H or A,H
04-003,4,Sun September 28,Panthers,Patriots,17,42,6.5,H or A,A
04-004,4,Sun September 28,Browns,Lions,13,17,1.5,H or A,H
04-005,4,Sun September 28,Chargers,Giants,10,17,0.5,H or A,A
04-006,4,Sun September 28,Saints,Bills,21,24,7.5,H or A,A
04-007,4,Sun September 28,Eagles,Buccaneers,3,42,12.5,H or A,A
04-008,4,Sun September 28,Titans,Texans,17,14,5.5,H or A,H
04-009,4,Sun September 28,Commanders,Falcons,34,42,3.5,H or A,H
04-010,4,Sun September 28,Colts,Rams,42,34,7.5,H or A,A
04-011,4,Sun September 28,Jaguars,49ers,17,21,6.5,H or A,A
04-012,4,Sun September 28,Ravens,Chiefs,10,24,10.5,H or A,H
04-013,4,Sun September 28,Bears,Raiders,51,42,3.5,H or A,A
04-014,4,Sun September 28,Packers,Cowboys,42,17,2.5,H or A,A
04-015,4,Mon September 29,Jets,Dolphins,21,24,9.5,H or A,A
04-016,4,Mon September 29,Bengals,Broncos,17,52,7.5,H or A,H
