GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
06-001,6,Thu October 9,Eagles,Giants,21,24,3.5,H or A,A
06-002,6,Sun October 12,Broncos,Jets,17,43,6.5,H or A,A
06-003,6,Sun October 12,Cardinals,Colts,49,31,4.5,H or A,H
06-004,6,Sun October 12,Browns,Steelers,31,42,7.5,H or A,A
06-005,6,Sun October 12,Cowboys,Panthers,10,17,10.5,H or A,A
06-006,6,Sun October 12,Chargers,Dolphins,7,18,2.5,H or A,H
06-007,6,Sun October 12,Rams,Ravens,17,17,3.5,H or A,A
06-008,6,Sun October 12,49ers,Buccaneers,31,34,5.5,H or A,H
06-009,6,Sun October 12,Seahawks,Jaguars,42,24,7.5,H or A,A
06-010,6,Sun October 12,Titans,Raiders,24,41,3.5,H or A,A
06-011,6,Sun October 12,Bengals,Packers,21,35,0.5,H or A,A
06-012,6,Sun October 12,Patriots,Saints,17,24,7.5,H or A,H
06-013,6,Sun October 12,Lions,Chiefs,15,42,6.5,H or A,A
06-014,6,Mon October 13,Bills,Falcons,17,24,3.5,H or A,A
06-015,6,Mon October 13,Bears,Commanders,31,17,2.5,H or A,H
