GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
09-001,9,Thu October 30,Ravens,Dolphins,0,0,6.5,H or A,H
09-002,9,Sun November 2,Falcons,Patriots,0,0,7.5,H or A,A
09-003,9,Sun November 2,Panthers,Packers,0,0,3.5,H or A,H
09-004,9,Sun November 2,Bears,Bengals,0,0,4.5,H or A,H
09-005,9,Sun November 2,Broncos,Texans,0,0,8.5,H or A,A
09-006,9,Sun November 2,Colts,Steelers,0,0,10.5,H or A,A
09-007,9,Sun November 2,Chargers,Titans,0,0,6.5,H or A,A
09-008,9,Sun November 2,Vikings,Lions,0,0,3.5,H or A,A
09-009,9,Sun November 2,49ers,Giants,0,0,0.5,H or A,H
09-010,9,Sun November 2,Jaguars,Raiders,0,0,1.5,H or A,H
09-011,9,Sun November 2,Saints,Rams,0,0,8.5,H or A,A
09-012,9,Sun November 2,Chiefs,Bills,0,0,7.5,H or A,A
09-013,9,Sun November 2,Seahawks,Commanders,0,0,8.5,H or A,H
09-014,9,Mon November 3,Cardinals,Cowboys,0,0,2.5,H or A,A
