GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
05-001,5,Thu October 2,49ers,Rams,24,43,7.5,H or A,H
05-002,5,Sun October 5,Vikings,Browns,48,24,3.5,H or A,A
05-003,5,Sun October 5,Cowboys,Jets,49,5,4.5,H or A,A
05-004,5,Sun October 5,Broncos,Eagles,16,31,7.5,H or A,H
05-005,5,Sun October 5,Texans,Ravens,10,21,10.5,H or A,H
05-006,5,Sun October 5,Raiders,Colts,21,42,2.5,H or A,A
05-007,5,Sun October 5,Dolphins,Panthers,17,18,3.5,H or A,A
05-008,5,Sun October 5,Giants,Saints,42,17,7.5,H or A,A
05-009,5,Sun October 5,Buccaneers,Seahawks,17,31,4.5,H or A,H
05-010,5,Sun October 5,Titans,Cardinals,10,34,3.5,H or A,H
05-011,5,Sun October 5,Lions,Bengals,3,42,7.5,H or A,A
05-012,5,Sun October 5,Commanders,Chargers,17,31,0.5,H or A,A
05-013,5,Sun October 5,Patriots,Bills,24,21,2.5,H or A,H
05-014,5,Mon October 6,Chiefs,Jaguars,31,17,3.5,H or A,H
